Height,Weight,BMI,Diet Plan,Mixed Greens Salad,Grilled Chicken/Shrimp,Avocado,Vinaigrette Dressing,Turkey/Chicken Breast Sandwich,Roasted Vegetables/Salad,Veggie Burger on a Whole Grain Bread,Grilled Chicken/Fish,Whole-grain Wrap with Hummus/Grilled Vegetables,Lentil/Bean Soup,Whole-grain Bread,Quinoa/Brown Rice and Vegetables,Turkey/Veggie Burger,Sweet Potato Fries,Tuna Salad,Whole-grain Crackers
174,81,26.75,Lose Weight,1,1,2,2,1,2,2,0,0,0,1,0,0,0,0,0
168,62,21.97,Maintain Weight,1,0,0,0,0,2,0,1,1,1,2,0,0,0,0,0
157,48,19.47,Gain Weight,1,0,0,0,0,2,0,1,0,0,0,2,1,2,1,1
160,59,23.05,Maintain Weight,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0
178,88,27.77,Lose Weight,2,1,1,2,2,2,2,0,0,0,1,0,0,0,0,0
171,68,23.26,Maintain Weight,1,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0
159,50,19.78,Gain Weight,1,0,0,0,0,3,0,1,0,0,0,1,2,1,2,1
163,58,21.83,Maintain Weight,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0
175,71,23.18,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
181,91,27.78,Lose Weight,1,1,2,2,1,1,1,0,0,0,1,0,0,0,0,0
164,61,22.68,Maintain Weight,1,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0
172,73,24.68,Maintain Weight,2,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0
176,80,25.83,Lose Weight,1,1,2,2,1,2,2,0,0,0,2,0,0,0,0,0
182,89,26.87,Lose Weight,2,2,1,1,2,1,1,0,0,0,1,0,0,0,0,0
170,66,22.84,Maintain Weight,1,0,0,0,0,2,0,2,2,1,1,0,0,0,0,0
166,63,22.86,Maintain Weight,1,0,0,0,0,2,0,1,2,1,2,0,0,0,0,0
154,47,19.82,Gain Weight,3,0,0,0,0,1,0,1,0,0,0,1,2,1,1,3
169,68,23.81,Maintain Weight,1,0,0,0,0,2,0,1,1,2,1,0,0,0,0,0
161,56,21.6,Maintain Weight,1,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0
173,77,25.73,Lose Weight,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,0
159,52,20.57,Gain Weight,1,0,0,0,0,3,0,3,0,0,0,1,1,1,1,1
176,78,25.18,Lose Weight,1,2,1,1,2,1,1,0,0,0,2,0,0,0,0,0
167,61,21.87,Maintain Weight,2,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0
165,59,21.67,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
172,72,24.34,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
179,85,26.53,Lose Weight,1,2,1,2,2,2,2,0,0,0,2,0,0,0,0,0
163,55,20.7,Gain Weight,1,0,0,0,0,2,0,1,0,0,0,2,1,1,2,1
156,47,19.31,Gain Weight,1,0,0,0,0,1,0,2,0,0,0,2,2,2,1,1
171,69,23.6,Maintain Weight,2,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0
158,51,20.43,Gain Weight,1,0,0,0,0,2,0,2,0,0,0,1,2,1,3,1
184,97,28.65,Lose Weight,2,2,1,2,2,2,1,0,0,0,1,0,0,0,0,0
175,75,24.49,Maintain Weight,2,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0
157,46,18.66,Gain Weight,1,0,0,0,0,1,0,1,0,0,0,3,2,1,2,2
165,62,22.77,Maintain Weight,2,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0
179,88,27.46,Lose Weight,2,1,2,1,1,2,2,0,0,0,2,0,0,0,0,0
174,72,23.78,Maintain Weight,2,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0
163,53,19.95,Gain Weight,2,0,0,0,0,2,0,1,0,0,0,1,1,3,1,2
168,64,22.68,Maintain Weight,2,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0
172,74,25.01,Lose Weight,1,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0
183,93,27.77,Lose Weight,2,2,1,2,2,2,1,0,0,0,2,0,0,0,0,0
167,61,21.87,Maintain Weight,1,0,0,0,0,2,0,2,1,2,1,0,0,0,0,0
169,69,24.16,Maintain Weight,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0
175,80,26.12,Lose Weight,1,1,1,1,1,1,2,0,0,0,2,0,0,0,0,0
178,85,26.83,Lose Weight,1,2,1,2,2,1,2,0,0,0,1,0,0,0,0,0
171,66,22.57,Maintain Weight,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
164,58,21.56,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
158,51,20.43,Gain Weight,1,0,0,0,0,1,0,3,0,0,0,1,2,1,2,2
181,90,27.47,Lose Weight,2,1,2,2,1,1,1,0,0,0,2,0,0,0,0,0
162,57,21.72,Maintain Weight,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
173,75,25.06,Lose Weight,1,2,1,1,2,1,1,0,0,0,2,0,0,0,0,0
159,52,20.57,Gain Weight,1,0,0,0,0,3,0,1,0,0,0,1,3,1,1,2
176,78,25.18,Lose Weight,2,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0
168,63,22.32,Maintain Weight,1,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0
160,50,19.53,Gain Weight,3,0,0,0,0,2,0,2,0,0,0,1,3,3,1,1
172,70,23.66,Maintain Weight,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0
179,84,26.22,Lose Weight,2,1,2,1,2,1,2,0,0,0,1,0,0,0,0,0
166,60,21.77,Maintain Weight,1,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0
157,44,17.85,Gain Weight,2,0,0,0,0,1,0,1,0,0,0,1,1,2,1,3
171,67,22.91,Maintain Weight,2,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0
156,49,20.13,Gain Weight,3,0,0,0,0,3,0,1,0,0,0,1,1,1,2,1
182,92,27.77,Lose Weight,2,1,2,2,2,1,1,0,0,0,1,0,0,0,0,0
159,56,22.15,Maintain Weight,1,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0
176,77,24.86,Maintain Weight,2,0,0,0,0,2,0,1,1,2,2,0,0,0,0,0
167,62,22.23,Maintain Weight,2,0,0,0,0,2,0,1,1,2,1,0,0,0,0,0
170,71,24.57,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
154,46,19.4,Gain Weight,3,0,0,0,0,2,0,1,0,0,0,3,3,2,2,1
178,83,26.2,Lose Weight,1,1,1,2,1,2,2,0,0,0,2,0,0,0,0,0
185,100,29.22,Lose Weight,1,2,1,1,1,1,2,0,0,0,2,0,0,0,0,0
162,58,22.1,Maintain Weight,1,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0
171,70,23.94,Maintain Weight,1,0,0,0,0,1,0,2,1,2,1,0,0,0,0,0
163,54,20.32,Gain Weight,1,0,0,0,0,2,0,1,0,0,0,1,1,3,1,2
177,84,26.81,Lose Weight,2,2,2,1,1,1,1,0,0,0,2,0,0,0,0,0
160,51,19.92,Gain Weight,1,0,0,0,0,2,0,2,0,0,0,2,1,2,1,1
180,87,26.85,Lose Weight,1,1,1,2,2,1,1,0,0,0,1,0,0,0,0,0
168,67,23.74,Maintain Weight,2,0,0,0,0,1,0,2,1,2,1,0,0,0,0,0
173,72,24.06,Maintain Weight,2,0,0,0,0,2,0,1,2,2,2,0,0,0,0,0
176,78,25.18,Lose Weight,1,2,2,2,2,2,1,0,0,0,2,0,0,0,0,0
164,59,21.94,Maintain Weight,1,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0
155,49,20.4,Gain Weight,1,0,0,0,0,2,0,1,0,0,0,1,3,2,2,1
182,93,28.08,Lose Weight,1,2,1,2,1,2,2,0,0,0,2,0,0,0,0,0
166,61,22.14,Maintain Weight,1,0,0,0,0,2,0,1,1,1,2,0,0,0,0,0
157,47,19.07,Gain Weight,1,0,0,0,0,2,0,3,0,0,0,1,1,1,2,2
169,69,24.16,Maintain Weight,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0
175,79,25.8,Lose Weight,1,2,2,1,2,1,1,0,0,0,2,0,0,0,0,0
170,69,23.88,Maintain Weight,2,0,0,0,0,1,0,2,2,1,1,0,0,0,0,0
178,84,26.51,Lose Weight,1,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0
165,62,22.77,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
179,88,27.46,Lose Weight,1,2,1,1,2,2,1,0,0,0,2,0,0,0,0,0
162,56,21.34,Maintain Weight,1,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0
170,72,24.91,Maintain Weight,1,0,0,0,0,1,0,2,1,2,1,0,0,0,0,0
158,50,20.03,Gain Weight,1,0,0,0,0,1,0,1,0,0,0,1,1,1,3,1
168,70,24.8,Maintain Weight,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0
174,79,26.09,Lose Weight,2,2,2,2,1,2,2,0,0,0,2,0,0,0,0,0
160,55,21.48,Maintain Weight,1,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0
179,88,27.46,Lose Weight,2,1,2,1,2,2,2,0,0,0,1,0,0,0,0,0
166,63,22.86,Maintain Weight,1,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0
183,95,28.37,Lose Weight,2,1,2,2,2,1,2,0,0,0,1,0,0,0,0,0
170,72,24.91,Maintain Weight,2,0,0,0,0,2,0,1,1,2,1,0,0,0,0,0
157,50,20.28,Gain Weight,1,0,0,0,0,2,0,1,0,0,0,3,2,1,2,1
178,82,25.88,Lose Weight,2,2,1,2,2,2,1,0,0,0,1,0,0,0,0,0
172,77,26.03,Lose Weight,2,2,2,1,2,2,1,0,0,0,2,0,0,0,0,0
166,62,22.5,Maintain Weight,1,0,0,0,0,1,0,2,2,1,1,0,0,0,0,0
171,70,23.94,Maintain Weight,2,0,0,0,0,2,0,1,1,2,2,0,0,0,0,0
164,57,21.19,Maintain Weight,1,0,0,0,0,2,0,1,1,1,2,0,0,0,0,0
177,81,25.85,Lose Weight,2,1,1,2,2,2,1,0,0,0,2,0,0,0,0,0
180,90,27.78,Lose Weight,1,1,1,2,1,1,1,0,0,0,2,0,0,0,0,0
165,61,22.41,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
173,74,24.73,Maintain Weight,1,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0
168,66,23.38,Maintain Weight,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0
175,76,24.82,Maintain Weight,2,0,0,0,0,2,0,1,1,2,1,0,0,0,0,0
160,54,21.09,Maintain Weight,1,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0
182,92,27.77,Lose Weight,1,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0
156,47,19.31,Gain Weight,1,0,0,0,0,1,0,1,0,0,0,2,1,2,2,3
181,88,26.86,Lose Weight,1,2,2,1,1,1,1,0,0,0,2,0,0,0,0,0
168,69,24.45,Maintain Weight,1,0,0,0,0,2,0,2,1,1,2,0,0,0,0,0
173,76,25.39,Lose Weight,2,2,1,2,2,1,1,0,0,0,1,0,0,0,0,0
170,73,25.26,Lose Weight,2,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0
163,57,21.45,Maintain Weight,1,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0
177,80,25.54,Lose Weight,1,2,2,1,2,1,1,0,0,0,1,0,0,0,0,0
159,51,20.17,Gain Weight,2,0,0,0,0,1,0,1,0,0,0,1,2,2,1,3
184,96,28.36,Lose Weight,2,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0
167,68,24.38,Maintain Weight,1,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0
172,77,26.03,Lose Weight,1,2,1,1,1,2,2,0,0,0,2,0,0,0,0,0
165,63,23.14,Maintain Weight,1,0,0,0,0,2,0,2,1,2,2,0,0,0,0,0
178,84,26.51,Lose Weight,1,1,2,2,1,1,1,0,0,0,1,0,0,0,0,0
180,90,27.78,Lose Weight,2,2,1,1,2,1,1,0,0,0,1,0,0,0,0,0
173,73,24.39,Maintain Weight,1,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0
166,65,23.59,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
175,79,25.8,Lose Weight,1,1,2,1,2,2,2,0,0,0,1,0,0,0,0,0
161,56,21.6,Maintain Weight,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
171,71,24.28,Maintain Weight,2,0,0,0,0,2,0,1,1,1,2,0,0,0,0,0
179,88,27.46,Lose Weight,2,2,1,1,1,1,2,0,0,0,1,0,0,0,0,0
168,67,23.74,Maintain Weight,1,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0
176,82,26.47,Lose Weight,2,1,1,1,2,1,1,0,0,0,2,0,0,0,0,0
167,62,22.23,Maintain Weight,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0
182,95,28.68,Lose Weight,1,2,1,1,2,1,1,0,0,0,2,0,0,0,0,0
160,54,21.09,Maintain Weight,2,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0
174,78,25.76,Lose Weight,1,1,2,1,2,1,2,0,0,0,2,0,0,0,0,0
169,70,24.51,Maintain Weight,1,0,0,0,0,1,0,2,2,1,1,0,0,0,0,0
178,83,26.2,Lose Weight,1,2,2,2,2,1,1,0,0,0,2,0,0,0,0,0
164,60,22.31,Maintain Weight,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0
173,75,25.06,Lose Weight,1,1,2,2,2,2,2,0,0,0,2,0,0,0,0,0
170,73,25.26,Lose Weight,1,1,2,2,2,1,1,0,0,0,1,0,0,0,0,0
165,62,22.77,Maintain Weight,1,0,0,0,0,1,0,2,1,2,1,0,0,0,0,0
181,90,27.47,Lose Weight,2,2,1,2,1,2,2,0,0,0,2,0,0,0,0,0
168,66,23.38,Maintain Weight,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0
172,76,25.69,Lose Weight,1,1,1,1,1,1,2,0,0,0,2,0,0,0,0,0
160,55,21.48,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
177,81,25.85,Lose Weight,1,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0
159,50,19.78,Gain Weight,2,0,0,0,0,1,0,1,0,0,0,2,1,2,1,2
184,94,27.76,Lose Weight,1,1,2,1,1,2,1,0,0,0,1,0,0,0,0,0
165,63,23.14,Maintain Weight,2,0,0,0,0,1,0,2,1,2,2,0,0,0,0,0
